Symbol,TradeDate,Datetime,Open,High,Low,Close,Volume,MinuteChangePct,IsDrasticMoment
ADANIENT,2024-01-03,2024-01-03T10:49:00+05:30,3058.900000,3064.400000,3043.250000,3043.800000,100027,-0.625214,false
ADANIENT,2024-01-03,2024-01-03T10:50:00+05:30,3043.450000,3052.800000,3032.550000,3042.600000,96353,-0.039424,false
ADANIENT,2024-01-03,2024-01-03T10:51:00+05:30,3041.950000,3041.950000,3025.000000,3033.300000,119059,-0.305660,false
ADANIENT,2024-01-03,2024-01-03T10:52:00+05:30,3033.900000,3045.200000,3028.850000,3036.000000,73104,0.089012,false
ADANIENT,2024-01-03,2024-01-03T10:53:00+05:30,3037.550000,3066.000000,3035.300000,3063.200000,142400,0.895916,false
ADANIENT,2024-01-03,2024-01-03T10:54:00+05:30,3060.350000,3071.950000,3055.050000,3058.750000,120241,-0.145273,false
ADANIENT,2024-01-03,2024-01-03T10:55:00+05:30,3060.000000,3078.000000,3057.050000,3077.900000,97470,0.626073,false
ADANIENT,2024-01-03,2024-01-03T10:56:00+05:30,3070.650000,3077.150000,3058.000000,3062.150000,68887,-0.511713,false
ADANIENT,2024-01-03,2024-01-03T10:57:00+05:30,3061.150000,3066.000000,3040.000000,3041.850000,92805,-0.662933,false
ADANIENT,2024-01-03,2024-01-03T10:58:00+05:30,3041.850000,3049.250000,3033.650000,3037.300000,74803,-0.149580,false
ADANIENT,2024-01-03,2024-01-03T10:59:00+05:30,3041.500000,3047.650000,3036.600000,3036.600000,37936,-0.023047,false
ADANIENT,2024-01-03,2024-01-03T11:00:00+05:30,3038.100000,3044.950000,3031.000000,3044.850000,49752,0.271685,false
ADANIENT,2024-01-03,2024-01-03T11:01:00+05:30,3041.850000,3045.000000,3013.200000,3016.000000,144959,-0.947502,false
ADANIENT,2024-01-03,2024-01-03T11:02:00+05:30,3015.100000,3019.050000,2997.850000,3013.100000,178277,-0.096154,false
ADANIENT,2024-01-03,2024-01-03T11:03:00+05:30,3012.800000,3029.500000,2997.700000,3022.900000,108356,0.325246,false
ADANIENT,2024-01-03,2024-01-03T11:04:00+05:30,3023.650000,3032.000000,3018.100000,3021.900000,66345,-0.033081,false
ADANIENT,2024-01-03,2024-01-03T11:05:00+05:30,3020.000000,3024.000000,3013.200000,3023.150000,36166,0.041365,false
ADANIENT,2024-01-03,2024-01-03T11:06:00+05:30,3022.800000,3024.950000,3007.800000,3016.200000,57828,-0.229893,false
ADANIENT,2024-01-03,2024-01-03T11:07:00+05:30,3017.950000,3022.000000,3010.000000,3021.750000,35788,0.184006,false
ADANIENT,2024-01-03,2024-01-03T11:08:00+05:30,3021.000000,3021.750000,3008.450000,3012.900000,51279,-0.292877,false
ADANIENT,2024-01-03,2024-01-03T11:09:00+05:30,3011.550000,3015.300000,3000.150000,3006.300000,66487,-0.219058,false
ADANIENT,2024-01-03,2024-01-03T11:10:00+05:30,3007.600000,3007.600000,2990.000000,2992.300000,136859,-0.465689,false
ADANIENT,2024-01-03,2024-01-03T11:11:00+05:30,2993.050000,3009.000000,2986.100000,3009.000000,92223,0.558099,false
ADANIENT,2024-01-03,2024-01-03T11:12:00+05:30,3007.450000,3011.550000,3002.750000,3007.950000,43699,-0.034895,false
ADANIENT,2024-01-03,2024-01-03T11:13:00+05:30,3006.250000,3019.400000,3003.050000,3016.950000,47590,0.299207,false
ADANIENT,2024-01-03,2024-01-03T11:14:00+05:30,3016.950000,3019.400000,3010.000000,3014.400000,38957,-0.084522,false
ADANIENT,2024-01-03,2024-01-03T11:15:00+05:30,3014.250000,3015.000000,3005.100000,3007.600000,24892,-0.225584,false
ADANIENT,2024-01-03,2024-01-03T11:16:00+05:30,3006.050000,3009.900000,2999.850000,3005.850000,37865,-0.058186,false
ADANIENT,2024-01-03,2024-01-03T11:17:00+05:30,3005.850000,3013.000000,3002.850000,3009.950000,32464,0.136401,false
ADANIENT,2024-01-03,2024-01-03T11:18:00+05:30,3007.700000,3010.600000,3002.600000,3009.950000,26655,0.000000,false
ADANIENT,2024-01-03,2024-01-03T11:19:00+05:30,3010.350000,3011.450000,3003.000000,3006.850000,23809,-0.102992,false
ADANIENT,2024-01-03,2024-01-03T11:20:00+05:30,3006.650000,3007.900000,2996.000000,3001.700000,50042,-0.171276,false
ADANIENT,2024-01-03,2024-01-03T11:21:00+05:30,3001.700000,3010.000000,3001.200000,3010.000000,21992,0.276510,false
ADANIENT,2024-01-03,2024-01-03T11:22:00+05:30,3010.000000,3014.000000,3005.400000,3013.950000,35729,0.131229,false
ADANIENT,2024-01-03,2024-01-03T11:23:00+05:30,3014.000000,3016.500000,3010.000000,3011.350000,45391,-0.086266,false
ADANIENT,2024-01-03,2024-01-03T11:24:00+05:30,3011.900000,3028.650000,3010.000000,3026.300000,50518,0.496455,false
ADANIENT,2024-01-03,2024-01-03T11:25:00+05:30,3027.350000,3036.300000,3025.850000,3030.900000,82037,0.152001,false
ADANIENT,2024-01-03,2024-01-03T11:26:00+05:30,3030.900000,3030.900000,3018.100000,3018.500000,40580,-0.409119,false
ADANIENT,2024-01-03,2024-01-03T11:27:00+05:30,3020.950000,3023.950000,3014.100000,3023.150000,18349,0.154050,false
ADANIENT,2024-01-03,2024-01-03T11:28:00+05:30,3023.700000,3023.700000,3006.500000,3007.950000,42431,-0.502787,false
ADANIENT,2024-01-03,2024-01-03T11:29:00+05:30,3007.000000,3011.450000,3005.200000,3005.500000,33779,-0.081451,false
ADANIENT,2024-01-03,2024-01-03T11:30:00+05:30,3003.550000,3008.100000,3001.000000,3002.000000,47808,-0.116453,false
ADANIENT,2024-01-03,2024-01-03T11:31:00+05:30,3002.600000,3009.750000,2998.000000,3003.600000,55679,0.053298,false
ADANIENT,2024-01-03,2024-01-03T11:32:00+05:30,3003.850000,3005.350000,2993.000000,2994.850000,52438,-0.291317,false
ADANIENT,2024-01-03,2024-01-03T11:33:00+05:30,2994.850000,2997.150000,2990.000000,2994.000000,54703,-0.028382,false
ADANIENT,2024-01-03,2024-01-03T11:34:00+05:30,2994.700000,2998.700000,2990.000000,2994.900000,54674,0.030060,false
ADANIENT,2024-01-03,2024-01-03T11:35:00+05:30,2993.350000,3001.600000,2984.150000,2999.000000,68516,0.136899,false
ADANIENT,2024-01-03,2024-01-03T11:36:00+05:30,2998.050000,3004.900000,2997.600000,3003.100000,28983,0.136712,false
ADANIENT,2024-01-03,2024-01-03T11:37:00+05:30,3001.450000,3002.000000,2995.000000,3001.950000,19229,-0.038294,false
ADANIENT,2024-01-03,2024-01-03T11:38:00+05:30,3001.000000,3001.900000,2995.050000,3001.250000,16078,-0.023318,false
ADANIENT,2024-01-03,2024-01-03T11:39:00+05:30,2999.950000,3000.300000,2994.100000,2998.100000,30088,-0.104956,false
ADANIENT,2024-01-03,2024-01-03T11:40:00+05:30,2998.200000,3001.900000,2994.450000,2996.300000,18130,-0.060038,false
ADANIENT,2024-01-03,2024-01-03T11:41:00+05:30,2995.000000,2996.000000,2985.350000,2986.000000,58644,-0.343757,false
ADANIENT,2024-01-03,2024-01-03T11:42:00+05:30,2987.550000,2990.950000,2984.900000,2984.900000,40190,-0.036839,false
ADANIENT,2024-01-03,2024-01-03T11:43:00+05:30,2984.000000,2989.000000,2975.100000,2977.200000,64585,-0.257965,false
ADANIENT,2024-01-03,2024-01-03T11:44:00+05:30,2976.050000,2990.000000,2974.700000,2988.950000,50295,0.394666,false
ADANIENT,2024-01-03,2024-01-03T11:45:00+05:30,2988.950000,2994.700000,2986.100000,2993.000000,30876,0.135499,false
ADANIENT,2024-01-03,2024-01-03T11:46:00+05:30,2992.100000,2999.000000,2991.250000,2997.350000,29137,0.145339,false
ADANIENT,2024-01-03,2024-01-03T11:47:00+05:30,2998.000000,2999.300000,2993.000000,2998.100000,22456,0.025022,false
ADANIENT,2024-01-03,2024-01-03T11:48:00+05:30,2998.000000,2998.100000,2985.300000,2986.000000,23715,-0.403589,false
ADANIENT,2024-01-03,2024-01-03T11:49:00+05:30,2987.700000,2993.900000,2985.000000,2992.200000,20167,0.207636,false
ADANIENT,2024-01-03,2024-01-03T11:50:00+05:30,2994.200000,2994.200000,2985.850000,2986.250000,16225,-0.198850,false
ADANIENT,2024-01-03,2024-01-03T11:51:00+05:30,2987.600000,2988.900000,2982.000000,2984.750000,22056,-0.050230,false
ADANIENT,2024-01-03,2024-01-03T11:52:00+05:30,2986.050000,2986.600000,2975.050000,2978.800000,40357,-0.199347,false
ADANIENT,2024-01-03,2024-01-03T11:53:00+05:30,2980.500000,2983.100000,2971.950000,2971.950000,40922,-0.229958,false
ADANIENT,2024-01-03,2024-01-03T11:54:00+05:30,2971.950000,2972.750000,2955.600000,2958.700000,119723,-0.445835,false
ADANIENT,2024-01-03,2024-01-03T11:55:00+05:30,2958.500000,2974.000000,2957.000000,2971.600000,54991,0.436002,false
ADANIENT,2024-01-03,2024-01-03T11:56:00+05:30,2971.700000,2975.100000,2970.000000,2972.250000,39030,0.021874,false
ADANIENT,2024-01-03,2024-01-03T11:57:00+05:30,2972.000000,2979.950000,2970.950000,2978.000000,34305,0.193456,false
ADANIENT,2024-01-03,2024-01-03T11:58:00+05:30,2978.000000,2981.950000,2975.000000,2978.100000,29247,0.003358,false
ADANIENT,2024-01-03,2024-01-03T11:59:00+05:30,2978.150000,2988.000000,2973.950000,2974.150000,46548,-0.132635,false
ADANIENT,2024-01-03,2024-01-03T12:00:00+05:30,2972.600000,2975.650000,2965.450000,2974.750000,41718,0.020174,false
ADANIENT,2024-01-03,2024-01-03T12:01:00+05:30,2973.700000,2982.650000,2973.700000,2979.650000,17899,0.164720,false
ADANIENT,2024-01-03,2024-01-03T12:02:00+05:30,2980.100000,2987.950000,2980.000000,2984.200000,35933,0.152702,false
ADANIENT,2024-01-03,2024-01-03T12:03:00+05:30,2984.200000,2987.200000,2981.400000,2984.800000,23608,0.020106,false
ADANIENT,2024-01-03,2024-01-03T12:04:00+05:30,2984.800000,2988.000000,2980.600000,2982.100000,22554,-0.090458,false
ADANIENT,2024-01-03,2024-01-03T12:05:00+05:30,2984.050000,2992.000000,2981.000000,2988.500000,30357,0.214614,false
ADANIENT,2024-01-03,2024-01-03T12:06:00+05:30,2987.750000,2989.350000,2977.350000,2982.350000,20862,-0.205789,false
ADANIENT,2024-01-03,2024-01-03T12:07:00+05:30,2982.350000,2984.100000,2976.750000,2977.450000,11319,-0.164300,false
ADANIENT,2024-01-03,2024-01-03T12:08:00+05:30,2977.550000,2983.000000,2977.550000,2983.000000,9148,0.186401,false
ADANIENT,2024-01-03,2024-01-03T12:09:00+05:30,2982.050000,2985.000000,2976.000000,2982.250000,19468,-0.025142,false
ADANIENT,2024-01-03,2024-01-03T12:10:00+05:30,2983.100000,2988.700000,2982.050000,2987.050000,15328,0.160952,false
ADANIENT,2024-01-03,2024-01-03T12:11:00+05:30,2987.050000,2999.700000,2986.000000,2999.000000,39827,0.400060,false
ADANIENT,2024-01-03,2024-01-03T12:12:00+05:30,2999.000000,3004.550000,2996.000000,2999.450000,53970,0.015005,false
ADANIENT,2024-01-03,2024-01-03T12:13:00+05:30,2998.900000,3000.800000,2992.250000,2994.000000,19133,-0.181700,false
ADANIENT,2024-01-03,2024-01-03T12:14:00+05:30,2993.250000,2996.800000,2990.000000,2996.000000,15936,0.066800,false
ADANIENT,2024-01-03,2024-01-03T12:15:00+05:30,2996.000000,2996.000000,2990.000000,2994.800000,9300,-0.040053,false
ADANIENT,2024-01-03,2024-01-03T12:16:00+05:30,2994.700000,2995.000000,2992.100000,2994.000000,6381,-0.026713,false
ADANIENT,2024-01-03,2024-01-03T12:17:00+05:30,2994.300000,3004.150000,2993.350000,3004.150000,23008,0.339011,false
ADANIENT,2024-01-03,2024-01-03T12:18:00+05:30,3004.150000,3008.750000,3002.050000,3003.950000,29543,-0.006657,false
ADANIENT,2024-01-03,2024-01-03T12:19:00+05:30,3003.550000,3003.900000,2996.400000,2997.000000,21734,-0.231362,false
ADANIENT,2024-01-03,2024-01-03T12:20:00+05:30,2998.950000,3002.100000,2997.300000,3000.350000,10784,0.111778,false
ADANIENT,2024-01-03,2024-01-03T12:21:00+05:30,3000.350000,3000.350000,2996.000000,2997.200000,12739,-0.104988,false
ADANIENT,2024-01-03,2024-01-03T12:22:00+05:30,2996.550000,2996.550000,2990.550000,2991.250000,18781,-0.198519,false
ADANIENT,2024-01-03,2024-01-03T12:23:00+05:30,2991.750000,2995.350000,2990.400000,2992.750000,5719,0.050146,false
ADANIENT,2024-01-03,2024-01-03T12:24:00+05:30,2991.750000,2993.650000,2985.900000,2991.900000,20122,-0.028402,false
ADANIENT,2024-01-03,2024-01-03T12:25:00+05:30,2991.500000,2995.000000,2989.500000,2995.000000,8419,0.103613,false
ADANIENT,2024-01-03,2024-01-03T12:26:00+05:30,2995.000000,2997.650000,2990.200000,2991.400000,10394,-0.120200,false
ADANIENT,2024-01-03,2024-01-03T12:27:00+05:30,2991.400000,2994.000000,2990.000000,2991.750000,9570,0.011700,false
